Date,RESERVAS_INTERNACIONAIS,DIVIDA_PUBLICA,SELIC,SOJA_US,MILHO_US,BALANCA_COMERCIAL,news_prob_mean,FRETES,PIB_BR,CUSTO_LOGISTICA,news_impact_mean_volatility,news_impact_mean_trend_volatility,news_prob_mean_volatility,news_impact_mean,news_prob_mean_trend_volatility,ENERGIA,news_count_trend,news_count_volatility,news_count_trend_volatility,news_count,DOLAR
2020-01-31,359394.0,-4.45,4.5,872.5,381.25,-3284.7,0.0,29556.0,613957.6,46956.15,0.0,0.0,0.0,0.0,0.0,1742.0,0.0,0.0,0.0,0.0,4.242199897766113
2020-02-01,359394.0,-5.55,4.5,872.5,381.25,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.242199897766113
2020-02-02,359394.0,-5.55,4.5,872.5,381.25,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.242199897766113
2020-02-03,359067.0,-5.55,4.5,877.0,378.75,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.282599925994873
2020-02-04,359028.0,-5.55,4.5,879.5,382.25,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.246799945831299
2020-02-05,358757.0,-5.55,4.5,880.0,380.75,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.253699779510498
2020-02-06,358530.0,-5.55,4.25,881.0,379.25,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.253699779510498
2020-02-07,358928.0,-5.55,4.25,882.0,383.5,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.280799865722656
2020-02-08,358928.0,-5.55,4.25,882.0,383.5,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.280799865722656
2020-02-09,358928.0,-5.55,4.25,882.0,383.5,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.280799865722656
2020-02-10,359166.0,-5.55,4.25,884.25,381.75,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.320400238037109
2020-02-11,358940.0,-5.55,4.25,884.75,379.75,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.320974826812744
2020-02-12,358683.0,-5.55,4.25,892.5,383.0,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.327530860900879
2020-02-13,358798.0,-5.55,4.25,896.25,379.5,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.354499816894531
2020-02-14,358955.0,-5.55,4.25,893.75,377.75,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.346766948699951
2020-02-15,358955.0,-5.55,4.25,893.75,377.75,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.346766948699951
2020-02-16,358955.0,-5.55,4.25,893.75,377.75,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.346766948699951
2020-02-17,358943.0,-5.55,4.25,893.75,377.75,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.296999931335449
2020-02-18,359203.0,-5.55,4.25,892.25,383.0,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.326499938964844
2020-02-19,358912.0,-5.55,4.25,897.25,380.5,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.354800224304199
2020-02-20,359035.0,-5.55,4.25,892.75,378.5,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.363999843597412
2020-02-21,359602.0,-5.55,4.25,890.5,377.0,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.392300128936768
2020-02-22,359602.0,-5.55,4.25,890.5,377.0,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.392300128936768
2020-02-23,359602.0,-5.55,4.25,890.5,377.0,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.392300128936768
2020-02-24,359602.0,-5.55,4.25,874.25,372.25,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.389800071716309
2020-02-25,359602.0,-5.55,4.25,879.0,372.5,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.386600017547607
2020-02-26,360578.0,-5.55,4.25,881.0,370.5,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.386799812316895
2020-02-27,361400.0,-5.55,4.25,886.25,364.5,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.449100017547607
2020-02-28,362460.0,-5.55,4.25,883.5,366.5,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.484799861907959
2020-02-29,362460.0,-5.55,4.25,883.5,366.5,931.5,0.0,27501.0,618293.2,46956.15,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,4.484799861907959
2020-03-01,362460.0,-8.3,4.25,883.5,366.5,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.484799861907959
2020-03-02,363863.0,-8.3,4.25,890.5,374.75,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.441299915313721
2020-03-03,364853.0,-8.3,4.25,893.0,381.75,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.472400188446045
2020-03-04,365655.0,-8.3,4.25,898.75,387.0,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.513199806213379
2020-03-05,366210.0,-8.3,4.25,889.0,384.5,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.583399772644043
2020-03-06,367386.0,-8.3,4.25,883.25,377.25,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.606200218200684
2020-03-07,367386.0,-8.3,4.25,883.25,377.25,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.606200218200684
2020-03-08,367386.0,-8.3,4.25,883.25,377.25,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.606200218200684
2020-03-09,367568.0,-8.3,4.25,863.5,374.25,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.589799880981445
2020-03-10,366669.0,-8.3,4.25,873.0,380.0,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.722899913787842
2020-03-11,361480.0,-8.3,4.25,867.75,379.25,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.642099857330322
2020-03-12,358491.0,-8.3,4.25,855.0,369.75,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.813799858093262
2020-03-13,358533.0,-8.3,4.25,846.75,370.75,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.790200233459473
2020-03-14,358533.0,-8.3,4.25,846.75,370.75,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.790200233459473
2020-03-15,358533.0,-8.3,4.25,846.75,370.75,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.790200233459473
2020-03-16,356767.0,-8.3,4.25,821.75,354.75,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.85260009765625
2020-03-17,353622.0,-8.3,4.25,824.25,344.0,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,4.999000072479248
2020-03-18,351769.0,-8.3,4.25,825.5,335.25,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,5.009699821472168
2020-03-19,349124.0,-8.3,3.75,843.25,345.5,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,5.103961944580078
2020-03-20,347423.0,-8.3,3.75,862.5,343.75,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,5.094200134277344
2020-03-21,347423.0,-8.3,3.75,862.5,343.75,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,5.094200134277344
2020-03-22,347423.0,-8.3,3.75,862.5,343.75,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,5.094200134277344
2020-03-23,346404.0,-8.3,3.75,884.0,343.5,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,5.045499801635742
2020-03-24,343392.0,-8.3,3.75,886.75,347.25,2297.1,0.0,24554.0,635843.8,46956.15,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,5.14169979095459
