Date,Value,source,feature_code,description
2020-01-01,29556.0,bcb,FRETES,Índice de Fretes
2020-01-01,209165.0,bcb,BALTIC_DRY,Baltic Dry Index
2020-01-01,1742.0,bcb,ENERGIA,Energia Elétrica
2020-01-01,-3284.7,bcb,BALANCA_COMERCIAL,Balança Comercial
2020-01-01,-4.45,bcb,DIVIDA_PUBLICA,Dívida Pública
2020-01-01,2838.1,bcb,INVESTIMENTO_ESTRANGEIRO,Investimento Estrangeiro
2020-01-01,613957.6,bcb,PIB_BR,PIB Brasil
2020-01-01,-44762232.0,bcb,CDS,Brazil CDS 5Y
2020-01-01,92446.0,bcb,SOJA_BR,Soja Brasil - Preço Médio Atacado
2020-01-01,46956.15,bcb,CUSTO_LOGISTICA,Custo Logístico
2020-01-01,20549.0,bcb,MILHO_BR,Milho Brasil - Preço Médio Atacado
2020-01-28,0.017089,bcb,DI_FUTURO,Taxa DI-Over
2020-01-28,386.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-01-28,4.5,bcb,SELIC,Taxa Selic
2020-01-28,895.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-01-28,358190.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-01-29,384.25,yahoo,MILHO_US,Milho EUA (Futuros)
2020-01-29,358321.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-01-29,0.017089,bcb,DI_FUTURO,Taxa DI-Over
2020-01-29,4.5,bcb,SELIC,Taxa Selic
2020-01-29,893.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-01-30,379.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-01-30,0.017089,bcb,DI_FUTURO,Taxa DI-Over
2020-01-30,876.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-01-30,359027.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-01-30,4.5,bcb,SELIC,Taxa Selic
2020-01-31,359394.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-01-31,0.017089,bcb,DI_FUTURO,Taxa DI-Over
2020-01-31,872.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-01-31,4.5,bcb,SELIC,Taxa Selic
2020-01-31,381.25,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-01,27501.0,bcb,FRETES,Índice de Fretes
2020-02-01,96157.0,bcb,SOJA_BR,Soja Brasil - Preço Médio Atacado
2020-02-01,618293.2,bcb,PIB_BR,PIB Brasil
2020-02-01,-39347241.0,bcb,CDS,Brazil CDS 5Y
2020-02-01,-5.55,bcb,DIVIDA_PUBLICA,Dívida Pública
2020-02-01,4.5,bcb,SELIC,Taxa Selic
2020-02-01,931.5,bcb,BALANCA_COMERCIAL,Balança Comercial
2020-02-01,2456.0,bcb,INVESTIMENTO_ESTRANGEIRO,Investimento Estrangeiro
2020-02-01,1840.0,bcb,ENERGIA,Energia Elétrica
2020-02-01,37677.0,bcb,MILHO_BR,Milho Brasil - Preço Médio Atacado
2020-02-02,4.5,bcb,SELIC,Taxa Selic
2020-02-03,4.282599925994873,yahoo,DOLAR,Dólar/Real
2020-02-03,877.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-03,378.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-03,359067.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-02-03,0.017089,bcb,DI_FUTURO,Taxa DI-Over
2020-02-03,4.5,bcb,SELIC,Taxa Selic
2020-02-04,879.5,yahoo,SOJA_US,Soja EUA (Futuros)
