Date,Value,feature_code,source,description
2020-01-01,-3284.7,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-01,209165.0,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-01,-44762232.0,CDS,bcb,Brazil CDS 5Y
2020-01-01,46956.15,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-01,-4.45,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-01,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-01,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-01,1742.0,ENERGIA,bcb,Energia Elétrica
2020-01-01,29556.0,FRETES,bcb,Índice de Fretes
2020-01-01,2838.1,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-01,20549.0,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-01,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-01,613957.6,PIB_BR,bcb,PIB Brasil
2020-01-01,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-01,4.5,SELIC,bcb,Taxa Selic
2020-01-01,92446.0,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-01,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-02,-3158.921538461538,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-02,209168.5839694657,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-02,-44666541.63076923,CDS,bcb,Brazil CDS 5Y
2020-01-02,46963.84671755725,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-02,-4.527230769230769,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-02,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-02,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-02,1739.5977011494251,ENERGIA,bcb,Energia Elétrica
2020-01-02,29283.707692307693,FRETES,bcb,Índice de Fretes
2020-01-02,2809.433846153846,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-02,20343.815384615384,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-02,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-02,613250.0692307692,PIB_BR,bcb,PIB Brasil
2020-01-02,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-02,4.5,SELIC,bcb,Taxa Selic
2020-01-02,91109.89230769232,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-02,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-03,-3033.143076923077,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-03,209172.1679389313,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-03,-44570851.26153846,CDS,bcb,Brazil CDS 5Y
2020-01-03,46971.54343511451,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-03,-4.604461538461539,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-03,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-03,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-03,1737.1954022988505,ENERGIA,bcb,Energia Elétrica
2020-01-03,29011.415384615382,FRETES,bcb,Índice de Fretes
2020-01-03,2780.7676923076924,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-03,20138.63076923077,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-03,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-03,612542.5384615384,PIB_BR,bcb,PIB Brasil
2020-01-03,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-03,4.5,SELIC,bcb,Taxa Selic
2020-01-03,89773.78461538462,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-03,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-06,-2907.364615384616,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-06,209175.75190839687,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-06,-44475160.89230769,CDS,bcb,Brazil CDS 5Y
2020-01-06,46979.24015267176,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-06,-4.681692307692308,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-06,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-06,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-06,1734.7931034482758,ENERGIA,bcb,Energia Elétrica
2020-01-06,28739.123076923075,FRETES,bcb,Índice de Fretes
2020-01-06,2752.1015384615384,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-06,19933.446153846155,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-06,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-06,611835.0076923077,PIB_BR,bcb,PIB Brasil
2020-01-06,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-06,4.5,SELIC,bcb,Taxa Selic
2020-01-06,88437.67692307693,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-06,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-07,-2781.5861538461536,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-07,209179.33587786256,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-07,-44379470.52307692,CDS,bcb,Brazil CDS 5Y
2020-01-07,46986.93687022901,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-07,-4.758923076923077,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-07,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-07,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-07,1732.3908045977012,ENERGIA,bcb,Energia Elétrica
2020-01-07,28466.830769230768,FRETES,bcb,Índice de Fretes
2020-01-07,2723.4353846153845,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-07,19728.26153846154,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-07,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-07,611127.4769230769,PIB_BR,bcb,PIB Brasil
2020-01-07,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-07,4.5,SELIC,bcb,Taxa Selic
2020-01-07,87101.56923076924,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-07,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-08,-2655.8076923076924,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-08,209182.91984732824,BALTIC_DRY,bcb,Baltic Dry Index
